"loan_amnt";"funded_amnt";"int_rate";"grade";"emp_length";"home_ownership";"annual_inc";"loan_status";"purpose";"dti";"loan_status_1";"int_rate_grp";"emp_len_grp"
2,5;2,5;15;"C";"< 1 year";"RENT";30;"Charged Off";"car";1;"default_new";"Medium";"Junior"
3;3;12;"B";"1 year";"RENT";80;"Current";"other";17,94;"current_new";"Medium";"Junior"
5,6;5,6;21;"F";"4 years";"OWN";40;"Charged Off";"small_business";5,55;"default_new";"High";"Junior"
5,375;5,375;12;"B";"< 1 year";"RENT";15;"Charged Off";"other";18,08;"default_new";"Medium";"Junior"
9;9;13;"C";"< 1 year";"RENT";30;"Charged Off";"debt_consolidation";10,08;"default_new";"Medium";"Junior"
10;10;10;"B";"3 years";"RENT";100;"Charged Off";"other";7,06;"default_new";"Low";"Junior"
21;21;12;"B";"10+ years";"RENT";105;"Charged Off";"debt_consolidation";13,22;"default_new";"Medium";"Senior"
6;6;11;"B";"1 year";"RENT";76;"Charged Off";"major_purchase";2,4;"default_new";"Medium";"Junior"
15;15;14;"C";"9 years";"RENT";60;"Charged Off";"debt_consolidation";15,22;"default_new";"Medium";"Senior"
5;5;16;"D";"2 years";"RENT";50,004;"Charged Off";"other";13,97;"default_new";"Medium";"Junior"
10;10;15;"C";"2 years";"RENT";29,12;"Current";"debt_consolidation";22,83;"current_new";"Medium";"Junior"
12,5;12,5;12;"B";"1 year";"RENT";27;"Current";"debt_consolidation";16,04;"current_new";"Medium";"Junior"
5;5;8;"A";"10+ years";"MORTGAGE";100;"Charged Off";"debt_consolidation";16,33;"default_new";"Low";"Senior"
15;15;9;"B";"8 years";"MORTGAGE";80;"Charged Off";"debt_consolidation";9,12;"default_new";"Low";"Mid-level"
12;12;15;"C";"4 years";"RENT";50;"Charged Off";"car";20,88;"default_new";"Medium";"Junior"
21;21;19;"E";"7 years";"RENT";50;"Charged Off";"debt_consolidation";21,58;"default_new";"High";"Mid-level"
10;10;10;"B";"10+ years";"RENT";45,996;"Charged Off";"debt_consolidation";21,73;"default_new";"Low";"Senior"
12,5;8,925;17;"D";"5 years";"RENT";30;"Charged Off";"debt_consolidation";13,16;"default_new";"Medium";"Mid-level"
8,2;8,2;21;"F";"4 years";"RENT";75;"Charged Off";"small_business";12,48;"default_new";"High";"Junior"
6,4;6,4;16;"D";"5 years";"RENT";75;"Charged Off";"debt_consolidation";20,22;"default_new";"Medium";"Mid-level"
14;14;17;"D";"4 years";"RENT";28;"Current";"other";6,34;"current_new";"Medium";"Junior"
15,3;15,3;22;"F";"6 years";"RENT";85;"Current";"credit_card";20,58;"current_new";"High";"Mid-level"
17,5;17,5;17;"D";"7 years";"MORTGAGE";45;"Charged Off";"credit_card";21,31;"default_new";"Medium";"Mid-level"
6;6;12;"B";"< 1 year";"RENT";81;"Current";"major_purchase";13,66;"current_new";"Medium";"Junior"
6,2;6,2;9;"B";"2 years";"RENT";25;"Charged Off";"debt_consolidation";20,64;"default_new";"Low";"Junior"
16;16;17;"D";"7 years";"RENT";65;"Current";"debt_consolidation";15,56;"current_new";"Medium";"Mid-level"
18,825;18,825;16;"D";"10+ years";"RENT";38;"Charged Off";"debt_consolidation";23,18;"default_new";"Medium";"Senior"
10;10;18;"D";"1 year";"RENT";75;"Charged Off";"credit_card";24,14;"default_new";"Medium";"Junior"
25;25;13;"C";"10+ years";"MORTGAGE";67;"Charged Off";"credit_card";14,15;"default_new";"Medium";"Senior"
19,75;19,75;10;"B";"4 years";"RENT";45;"Charged Off";"debt_consolidation";22,8;"default_new";"Low";"Junior"
28;11,8;19;"E";"10+ years";"RENT";52;"Charged Off";"debt_consolidation";20,7;"default_new";"High";"Senior"
24;24;15;"C";"8 years";"MORTGAGE";90;"Charged Off";"home_improvement";9,17;"default_new";"Medium";"Mid-level"
11,1;11,1;6;"A";"10+ years";"RENT";41;"Charged Off";"credit_card";29,85;"default_new";"Low";"Senior"
12;12;9;"B";"2 years";"RENT";42;"Charged Off";"debt_consolidation";7,83;"default_new";"Low";"Junior"
10;10;11;"B";"8 years";"RENT";60;"Charged Off";"debt_consolidation";22,08;"default_new";"Medium";"Mid-level"
13,475;13,475;13;"C";"10+ years";"RENT";25;"Charged Off";"credit_card";21,89;"default_new";"Medium";"Senior"
5,6;5,6;14;"C";"1 year";"MORTGAGE";85;"Charged Off";"debt_consolidation";12,24;"default_new";"Medium";"Junior"
2,5;2,5;7;"A";"n/a";"OWN";12;"Charged Off";"debt_consolidation";16,3;"default_new";"Low";"Junior"
10;10;13;"C";"5 years";"RENT";65;"Charged Off";"small_business";6,92;"default_new";"Medium";"Mid-level"
7,75;7,75;17;"D";"< 1 year";"RENT";24;"Charged Off";"debt_consolidation";16,1;"default_new";"Medium";"Junior"
20;20;20;"F";"6 years";"RENT";70;"Charged Off";"debt_consolidation";16,63;"default_new";"High";"Mid-level"
21;21;11;"B";"3 years";"RENT";60;"Charged Off";"debt_consolidation";6,62;"default_new";"Medium";"Junior"
15;15;16;"D";"10+ years";"RENT";42;"Charged Off";"debt_consolidation";19,63;"default_new";"Medium";"Senior"
15;15;17;"D";"8 years";"RENT";75;"Charged Off";"debt_consolidation";16,03;"default_new";"Medium";"Mid-level"
11;11;13;"C";"10+ years";"MORTGAGE";129;"Current";"debt_consolidation";10,94;"current_new";"Medium";"Senior"
16;16;12;"B";"1 year";"RENT";58,5;"Charged Off";"debt_consolidation";20,64;"default_new";"Medium";"Junior"
12;12;14;"C";"8 years";"MORTGAGE";70;"Charged Off";"other";8,4;"default_new";"Medium";"Mid-level"
13,65;13,65;12;"B";"10+ years";"MORTGAGE";86;"Charged Off";"debt_consolidation";12,29;"default_new";"Medium";"Senior"
10,5;10,5;16;"D";"3 years";"RENT";30;"Charged Off";"debt_consolidation";15;"default_new";"Medium";"Junior"
15,075;15,075;14;"C";"10+ years";"RENT";35;"Charged Off";"debt_consolidation";20,16;"default_new";"Medium";"Senior"
21;11,8;17;"D";"10+ years";"MORTGAGE";109;"Current";"debt_consolidation";7,75;"current_new";"Medium";"Senior"
16;16;17;"D";"2 years";"RENT";50;"Current";"debt_consolidation";11,04;"current_new";"Medium";"Junior"
9,5;9,5;12;"B";"< 1 year";"MORTGAGE";52,5;"Charged Off";"moving";23,54;"default_new";"Medium";"Junior"
7,2;7,2;7;"A";"3 years";"RENT";68;"Charged Off";"debt_consolidation";7,98;"default_new";"Low";"Junior"
